COD,First_NOM_,First_DIR_,First_POB_,First_POB1,UTM_X,UTM_Y,LONG,LAT,LAT_LON,LONGDEC,LATDEC
13,Pabellón I.E.S. Los Cardones,"C/. La Alondra, s/n",Los Cardones (San Isidro),Granadilla de Abona,346385.241386,3105861.79077,"16º 33' 47.69179""","28º 04' 09.36454""",28º 04' 9.36'' N   16º 33' 47.69'' W,-16.5632477194,28.0692679167
14,Pabellón Tasagaya,"C/. Poeta Arístides Hernández Mora, 16", ,Güímar,362198.988546,3133118.10608,"16º 24' 20.07670""","28º 19' 01.11327""",28º 19' 1.11'' N   16º 24' 20.08'' W,-16.4055768611,28.3169758889
15,Pabellón Municipal José Leonardo Rguez. García,"Paseo de La Centinela, s/n", ,Icod de Los Vinos,332242.81085,3139963.24676,"16º 42' 43.27202""","28º 22' 30.90093""",28º 22' 30.9'' N   16º 42' 43.27'' W,-16.7120200056,28.37525025
16,Colegio Plus Ultra,"Avda. Hipólito Sinforiano, s/n", ,La Guancha,338188.635511,3139892.97115,"16º 39' 04.86731""","28º 22' 31.31300""",28º 22' 31.31'' N   16º 39' 4.87'' W,-16.6513520306,28.3753647222
17,Pabellón Plus Ultra,"Avda. Hipólito Sinforiano, s/n", ,La Guancha,338124.760749,3139894.14957,"16º 39' 07.21384""","28º 22' 31.32286""",28º 22' 31.32'' N   16º 39' 7.21'' W,-16.6520038444,28.3753674444
18,Pabellón I.E.S. La Matanza,"C/. La Resbala, s/n", ,La Matanza de Acentejo,357756.621436,3147343.78698,"16º 27' 09.45378""","28º 26' 41.54181""",28º 26' 41.54'' N   16º 27' 9.45'' W,-16.45262605,28.4448727222
19,Pabellón Municipal de La Matanza,"C/. La Resbala, s/n", ,La Matanza de Acentejo,357844.893093,3147611.70848,"16º 27' 06.32826""","28º 26' 50.28003""",28º 26' 50.28'' N   16º 27' 6.33'' W,-16.45175785,28.4473
20,"Colegio Salesiano ""San Isidro""","C/. Franchy Alfaro, 5", ,La Orotava,350939.470061,3141830.88508,"16º 31' 17.44814""","28º 23' 39.71749""",28º 23' 39.72'' N   16º 31' 17.45'' W,-16.5215133722,28.3943659444
21,Pabellón I.E.S. Rafael Arozarena,"C/. Profesor José Luis Prieto Pérez, s/n", ,La Orotava,350265.089425,3141138.35048,"16º 31' 41.89930""","28º 23' 16.94329""",28º 23' 16.94'' N   16º 31' 41.9'' W,-16.5283053611,28.3880397778
22,Pabellón Municipal Quiquirá,"Paseo Las Aracucarias, s/n", ,La Orotava,351708.866341,3142151.22658,"16º 30' 49.33156""","28º 23' 50.43869""",28º 23' 50.44'' N   16º 30' 49.33'' W,-16.5137032111,28.3973440556
23,Pabellón Municipal de La Victoria,"C/. Añate, s/n", ,La Victoria de Acentejo,355913.524082,3145947.90657,"16º 28' 16.56790""","28º 25' 55.46817""",28º 25' 55.47'' N   16º 28' 16.57'' W,-16.4712688611,28.4320744722
24,Pabellón I.E.S. Los Realejos,Avda. Canarias, ,Los Realejos,344862.867998,3140577.47707,"16º 35' 00.06814""","28º 22' 56.45771""",28º 22' 56.46'' N   16º 35' .07'' W,-16.5833522611,28.3823493611
25,Pabellón Municipal de Los Realejos,"C/. Ruiz Andión, s/n", ,Los Realejos,345224.404534,3141330.79341,"16º 34' 47.15143""","28º 23' 21.08259""",28º 23' 21.08'' N   16º 34' 47.15'' W,-16.5797642861,28.3891895833
26,Pabellón Miguel Ángel Díaz Molina,"Avda. Rosario Sotomayor, s/n", ,Puerto de La Cruz,347681.966617,3143877.14828,"16º 33' 18.08480""","28º 24' 44.83779""",28º 24' 44.84'' N   16º 33' 18.08'' W,-16.5550235556,28.4124549167
27,Polideportivo Manolo Santaella,Avda. José María del Campo Llarena, ,Puerto de La Cruz,347398.051375,3143900.08048,"16º 33' 28.52719""","28º 24' 45.46348""",28º 24' 45.46'' N   16º 33' 28.53'' W,-16.5579242194,28.4126287222
28,Colegio Echeyde II (Geneto),"C/. Los Pajaritios, s/n",Geneto,San Cristóbal de La Laguna,371460.722388,3148448.86719,"16º 18' 46.19223""","28º 27' 22.56161""",28º 27' 22.56'' N   16º 18' 46.19'' W,-16.312831175,28.4562671111
29,Colegio Hispano Británico,"Camino Las Mantecas, 26",El Charcón (La Cuesta),San Cristóbal de La Laguna,372901.275943,3149762.4946,"16º 17' 53.75806""","28º 28' 05.74655""",28º 28' 5.75'' N   16º 17' 53.76'' W,-16.2982661278,28.4682629167
30,Colegio Luther King,"Camino Las Gavias, 93", ,San Cristóbal de La Laguna,370011.943394,3152950.27421,"16º 19' 41.27913""","28º 29' 48.28306""",28º 29' 48.28'' N   16º 19' 41.28'' W,-16.3281330917,28.4967452778
31,Colegio Nuestra Señora del Buen Consejo,"Avda. San Diego, 26", ,San Cristóbal de La Laguna,370791.590569,3152719.33105,"16º 19' 12.51467""","28º 29' 41.05969""",28º 29' 41.06'' N   16º 19' 12.51'' W,-16.3201429639,28.4947387778
32,Colegio Nuryana,"C/. San Francisco de Paula, 72", ,San Cristóbal de La Laguna,370406.021268,3150970.27823,"16º 19' 25.98455""","28º 28' 44.09986""",28º 28' 44.1'' N   16º 19' 25.98'' W,-16.3238845972,28.4789166111
33,Colegio Salesiano San Juan Bosco-La Cuesta,"C/. María Auxiliadora, 14",La Cuesta,San Cristóbal de La Laguna,374447.489619,3150064.48097,"16º 16' 57.02991""","28º 28' 16.09679""",28º 28' 16.1'' N   16º 16' 57.03'' W,-16.2825083083,28.4711379722
